Shard 2: Block 3 Generated: Time: 4.01 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 5 Generated: Time: 4.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 7 Generated: Time: 3.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 8 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 5 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 9 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 9 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 5 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 5 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 9 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 9 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 10 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 8 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 11 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 9 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 11 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 11 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 11 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 12 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 13 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 14 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 1: Block 16 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 14 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 2: Block 14 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 1: Block 17 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 17 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 15 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 18 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 16 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 19 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 19 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 19 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 18 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 18 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 2.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 2, Block Size: 8 bytes
Shard 1: Block 6 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 6 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 1 Generated: Time: 2.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 5.01 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 4 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 3.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 2.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 2 Generated: Time: 3.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 5 Generated: Time: 5.01 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 2 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 7 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 5.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 2.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 1: Block 1 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
Shard 2: Block 3 Generated: Time: 1.00 seconds, Transactions: 1, Block Size: 8 bytes
